pcon,leftright,lower,upper,libauth,lower,upper,ons_id,pctright,pctauth
Aberavon,0.22442899,0.190932018,0.255041757,0.320437552,0.27590992,0.360396645,W07000049,22.44289896,67.95624482
Aberconwy,0.264889526,0.227639679,0.304615727,0.323821164,0.280984052,0.359775349,W07000058,26.48895258,67.61788357
Aberdeen North,0.217757396,0.187589768,0.253603897,0.356532163,0.31672206,0.390076232,S14000001,21.77573963,64.34678365
Aberdeen South,0.249339946,0.212123737,0.28304421,0.384856972,0.349585471,0.422766297,S14000002,24.93399458,61.51430279
Airdrie and Shotts,0.213675257,0.179025721,0.247053933,0.319631383,0.275296242,0.35978889,S14000003,21.36752569,68.0368617
Aldershot,0.271074337,0.239841577,0.300345777,0.308082102,0.266099736,0.338521539,E14000530,27.10743373,69.19178985
Aldridge-Brownhills,0.27940142,0.251425712,0.308178705,0.27521751,0.238958164,0.31090785,E14000531,27.94014197,72.47824898
Altrincham and Sale West,0.279694582,0.252325112,0.311995287,0.349862559,0.306779145,0.386206271,E14000532,27.9694582,65.01374413
Alyn and Deeside,0.254850938,0.214739929,0.284982658,0.328085692,0.289094393,0.36820628,W07000043,25.48509375,67.19143081
Amber Valley,0.258570785,0.217214655,0.291397664,0.308560857,0.273426702,0.351640172,E14000533,25.85707854,69.14391433
Angus,0.230262045,0.195952183,0.260834719,0.31190944,0.270183273,0.351683049,S14000004,23.02620449,68.80905602
Arfon,0.220220583,0.165287522,0.281589458,0.375468937,0.311024616,0.438573972,W07000057,22.02205827,62.45310627
Argyll and Bute,0.243440024,0.210458056,0.272743004,0.346528893,0.31029193,0.385773143,S14000005,24.34400244,65.3471107
Arundel and South Downs,0.29533609,0.264916194,0.321456438,0.336458158,0.297109447,0.370832159,E14000534,29.53360904,66.35418418
Ashfield,0.232772136,0.190427267,0.276134943,0.305109097,0.25020569,0.35464693,E14000535,23.27721356,69.48909032
Ashford,0.27959405,0.24997525,0.313820345,0.31089608,0.280171902,0.342946188,E14000536,27.959405,68.91039202
Ashton-under-Lyne,0.236407166,0.209957276,0.266225826,0.280712194,0.24380562,0.320834825,E14000537,23.64071659,71.92878061
Aylesbury,0.277303585,0.248620529,0.306955732,0.32554126,0.282744931,0.359600119,E14000538,27.73035847,67.44587401
"Ayr, Carrick and Cumnock",0.242522431,0.206585666,0.27946719,0.31356987,0.273171661,0.350273286,S14000006,24.25224305,68.64301305
Banbury,0.279512568,0.245210667,0.309788569,0.336027849,0.304299389,0.374576825,E14000539,27.95125677,66.39721508
Banff and Buchan,0.240767942,0.206558169,0.273826013,0.286167153,0.24629853,0.326850439,S14000007,24.07679416,71.3832847
Barking,0.230251151,0.196174903,0.262729572,0.292018198,0.255508875,0.326407021,E14000540,23.02511506,70.79818017
Barnsley Central,0.219113741,0.175282744,0.265004415,0.307095446,0.257675783,0.35420999,E14000541,21.91137408,69.29045535
Barnsley East,0.220972966,0.175874675,0.263011205,0.295909274,0.249558149,0.340732322,E14000542,22.09729657,70.40907263
Barrow and Furness,0.265469397,0.233554971,0.299371226,0.301445544,0.268713097,0.340452808,E14000543,26.54693969,69.85544563
Basildon and Billericay,0.266756334,0.226917783,0.297319791,0.300245636,0.261586967,0.337511366,E14000544,26.67563345,69.9754364
Basingstoke,0.267540952,0.228576156,0.298618651,0.326169378,0.283880842,0.358453427,E14000545,26.75409522,67.38306218
Bassetlaw,0.253113348,0.222115486,0.290471163,0.295899015,0.25171767,0.332291509,E14000546,25.31133483,70.41009851
Bath,0.271275433,0.234964334,0.310501054,0.425853483,0.378561532,0.470229897,E14000547,27.1275433,57.41465174
Batley and Spen,0.223863868,0.186425787,0.260717794,0.299128036,0.257215572,0.337226589,E14000548,22.38638679,70.08719643
Battersea,0.277596052,0.245305745,0.30859462,0.418170575,0.380084248,0.460129284,E14000549,27.75960522,58.1829425
Beaconsfield,0.298600024,0.249705451,0.346091415,0.357074642,0.298972274,0.411588156,E14000550,29.86000237,64.29253576
Beckenham,0.29695159,0.26780979,0.329354223,0.337046758,0.300949366,0.37342285,E14000551,29.69515898,66.29532416
Bedford,0.258058051,0.22962092,0.293769227,0.327737766,0.293149606,0.365948352,E14000552,25.80580509,67.22622345
Bermondsey and Old Southwark,0.246849359,0.209418073,0.280283998,0.388567918,0.350832618,0.430726367,E14000553,24.68493594,61.14320821
"Berwickshire, Roxburgh and Selkirk",0.261303578,0.233577747,0.296674432,0.323356079,0.286482448,0.360364021,S14000008,26.13035777,67.66439214
Berwick-Upon-Tweed,0.258242432,0.227160516,0.29538249,0.307250285,0.261192017,0.34984446,E14000554,25.82424323,69.27497153
Bethnal Green and Bow,0.218707292,0.188383342,0.254191149,0.376076214,0.339476021,0.4200264,E14000555,21.87072922,62.39237864
